can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,cov_sta_dat,cov_end_dat,ind_con,net_ope_exp,tot_con,tot_dis,net_con,ope_exp,tot_rec,winner
H6CA41190,"FOX, RANDY",H,CA,41.0,REP,CHALLENGER,CORONA,CA,92883.0,1/1/2016,12/31/2016,64065.0,67065.0,67065.0,67065.0,67065.0,67065.0,67065.0,N
S6CO00309,"GRAHAM, JOHN COLLINS",S,CO,0.0,REP,CHALLENGER,DENVER,CO,80250.0,1/1/2016,12/31/2016,462280.0,2358939.0,483847.0,2365130.0,483847.0,2365130.0,2365130.0,N
H6CA13140,"CARO, SUZANNE M",H,CA,13.0,REP,CHALLENGER,OAKLAND,CA,94610.0,1/1/2016,11/28/2016,3050.0,3735.81,4521.0,4521.0,4521.0,3735.81,4521.0,N
H6CA06227,"EVANS, ROBERT S",H,CA,6.0,REP,CHALLENGER,SACRAMENTO,CA,95864.0,1/1/2016,11/28/2016,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2905.0,N
H6CA35127,"FISCHELLA, TYLER R",H,CA,35.0,REP,CHALLENGER,SAN DIMAS,CA,91773.0,1/1/2016,11/28/2016,2740.29,3747.65,3502.65,3747.65,3502.65,3747.65,3747.65,N
H6CA09098,"NANCE, KATHRYN D",H,CA,9.0,REP,CHALLENGER,STOCKTON,CA,95209.0,1/1/2015,11/28/2016,64007.01,68351.76,68606.01,68609.37,68606.01,68355.12,68709.37,N
H6CA11169,"PETERSEN, ROGER",H,CA,11.0,REP,CHALLENGER,CLAYTON,CA,94517.0,1/1/2016,11/28/2016,7789.5,7046.88,7789.5,7789.5,7789.5,7046.88,8789.5,N
H6CA05336,"SANTAMARIA, CARLOS J",H,CA,5.0,REP,CHALLENGER,NAPA,CA,94558.0,1/1/2016,11/28/2016,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,N
H6FL08254,"STINSON, BILL",H,FL,8.0,NPA,CHALLENGER,MELBOURNE,FL,32940.0,4/1/2016,11/28/2016,7400.0,13970.0,20500.0,13970.0,20500.0,13970.0,20500.0,N
H6CA14114,"CARDENAS, ANGEL",H,CA,14.0,REP,CHALLENGER,WEST SACRAMENTO,CA,95691.0,1/1/2016,11/12/2016,4105.06,4029.13,4105.06,4140.06,4105.06,4029.13,4140.06,N
H4ND01028,"SEAMAN, JACK",H,ND,0.0,LIB,CHALLENGER,FARGO,ND,58102.0,1/1/2015,11/10/2016,2530.0,2546.2,2530.0,2546.2,2530.0,2546.2,2530.0,N
H6CA15152,"TURNER, DANNY REID",H,CA,15.0,REP,CHALLENGER,LIVERMORE,CA,94550.0,1/1/2016,11/10/2016,532.75,632.75,532.75,632.75,532.75,632.75,632.75,N
H6CA19121,"LANCASTER, GORDON K CA",H,CA,19.0,REP,CHALLENGER,SAN JOSE,CA,95135.0,4/1/2016,11/9/2016,100.0,5500.0,5100.0,5500.0,5100.0,5500.0,5500.0,N
H6WV02093,"SAVITT, MARC",H,WV,2.0,REP,CHALLENGER,MARTINSBURG,WV,25402.0,10/1/2015,11/8/2016,26876.74,39106.46,39106.5,39106.46,39106.5,39106.46,39106.5,N
S0KS00166,"WIESNER, PATRICK",S,KS,0.0,DEM,CHALLENGER,LAWRENCE,KS,66046.0,1/1/2015,10/28/2016,6135.0,29603.0,15026.0,29603.0,15026.0,29603.0,35026.0,N
S6OR05085,"STINE, KEVIN ",S,OR,0.0,DEM,CHALLENGER,MEDFORD,OR,97501.0,9/1/2015,10/25/2016,5735.0,6436.0,5735.0,8733.0,5735.0,6436.0,8735.0,N
H6WI03164,"BUCHHOLZ, MYRON EARL MR.",H,WI,3.0,DEM,CHALLENGER,EAU CLAIRE,WI,54701.0,1/1/2016,10/24/2016,21266.31,31376.31,31291.31,31376.31,31291.31,31376.31,31291.31,N
S0HI00126,"CARROLL, JOHN STANLEY",S,HI,0.0,REP,CHALLENGER,HONOLULU,HI,96813.0,6/10/2016,10/24/2016,5700.0,40579.0,31943.0,40579.0,31943.0,40579.0,53945.0,N
H6WA06203,"COVERDALE, MICHAEL DUANE",H,WA,6.0,IND,CHALLENGER,WESTPORT,WA,98595.0,4/1/2016,10/22/2016,3054.0,8171.0,3054.0,9171.0,7054.0,8171.0,9054.0,N
S6MO00461,"LEE, PATRICK",S,MO,0.0,IND,CHALLENGER,ASHLAND,MO,65010.0,1/14/2016,10/21/2016,611.0,5361.0,5611.0,5361.0,5611.0,5361.0,5611.0,N
S6AK00201,"CRAIG, BRECK ANDREW MR",S,AK,0.0,UNK,CHALLENGER,ANCHORAGE,AK,99508.0,4/1/2016,10/20/2016,269.0,21371.0,5471.0,21371.0,5471.0,21371.0,16971.0,N
H6MI12264,"JONES, JEFF",H,MI,12.0,REP,CHALLENGER,TAYLOR,MI,48180.0,4/1/2016,10/20/2016,16715.0,8701.0,18375.0,8701.0,18375.0,8701.0,38375.0,N
H6CA29229,"ALARCON, RICHARD ANTHONY MR.",H,CA,29.0,DEM,CHALLENGER,MISSION HILLS,CA,91345.0,1/1/2016,10/19/2016,57081.05,69538.7,69834.33,70693.93,69834.33,69538.7,70834.33,N
H6UT02390,"ALBARRAN, CHARLENE MCARTHUR",H,UT,2.0,DEM,CHALLENGER,PARK CITY,UT,84068.0,9/1/2015,10/19/2016,72223.0,548462.32,562223.0,555400.34,562153.0,548462.32,563693.69,N
H6OH12127,"ALBERTSON, ED",H,OH,12.0,DEM,CHALLENGER,HEATH,OH,43056.0,12/8/2015,10/19/2016,18142.7,18413.17,27043.95,18413.17,27043.95,18413.17,28043.95,N
H4MA09052,"ALLIEGRO, MARK C",H,MA,9.0,REP,CHALLENGER,EAST FALMOUTH,MA,2536.0,1/1/2015,10/19/2016,193444.46,205584.17,218720.8,205609.17,218695.8,205584.17,260720.8,N
H0CA11337,"AMADOR, ANTONIO C",H,CA,9.0,REP,CHALLENGER,LODI,CA,95242.0,1/1/2015,10/19/2016,40170.0,30903.58,48462.25,34903.58,48462.25,30903.58,48462.25,N
H6CA49102,"APPLEGATE, DOUGLAS LOREN",H,CA,49.0,DEM,CHALLENGER,VISTA,CA,92081.0,7/1/2015,10/19/2016,1138611.06,959079.59,1260961.06,975048.75,1260961.06,959079.59,1261991.17,N
H4MD05144,"ARNESS, MARK KENNETH",H,MD,5.0,REP,CHALLENGER,PORT REPUBLIC,MD,20676.0,1/1/2015,10/19/2016,9601.0,41632.3,22319.79,42132.3,21819.79,41632.3,49219.79,N
H4NY29098,"ASSINI, MARK W",H,NY,25.0,REP,CHALLENGER,ROCHESTER,NY,14624.0,1/1/2015,10/19/2016,209409.41,193415.43,209409.41,193415.43,209409.41,193415.43,209409.41,N
H6CO07106,"ATHANASOPOULOS, GEORGE MR.",H,CO,7.0,REP,CHALLENGER,WHEAT RIDGE,CO,80033.0,1/1/2016,10/19/2016,45981.0,44259.51,50356.0,45259.51,49356.0,44259.51,50356.0,N
H4PA07092,"BALCHUNIS, MARY ELLEN",H,PA,7.0,DEM,CHALLENGER,ARDMORE,PA,190031617.0,1/1/2015,10/19/2016,142131.85,128619.36,182209.92,132313.64,182209.92,128619.36,182209.92,N
H6IL12099,"BARICEVIC, CHARLES JOHN",H,IL,12.0,DEM,CHALLENGER,BELLEVILLE,IL,62220.0,4/1/2015,10/19/2016,780660.89,837588.33,950960.89,852636.19,943095.89,837588.33,950960.89,N
S6GA00200,"BARKSDALE, JAMES FREEMAN",S,GA,0.0,DEM,CHALLENGER,ATLANTA,GA,30308.0,4/1/2016,10/19/2016,502097.0,4770944.0,511797.0,4772457.0,510547.0,4771207.0,4912063.0,N
H6TX27092,"BARRERA, RAUL (ROY)",H,TX,27.0,DEM,CHALLENGER,CORPUS CHRISTI,TX,78426.0,1/1/2016,10/19/2016,15201.0,18498.17,19411.53,20852.64,18022.06,18498.17,22558.99,N
S2UT00187,"BARRON, WILLIAM CURRIE",S,UT,0.0,UN,CHALLENGER,SALT LAKE CITY,UT,84105.0,1/1/2015,10/19/2016,11306.0,12870.0,12756.0,13139.0,12756.0,13139.0,12760.08,N
H6TX18141,"BARTLEY, LORI ANITA MRS.",H,TX,18.0,REP,CHALLENGER,HOUSTON,TX,77238.0,4/1/2015,10/19/2016,24593.87,34241.17,29593.87,34366.17,29593.87,34241.17,33772.87,N
H4WA09061,"BASLER, DOUGLAS MICHAEL",H,WA,9.0,REP,CHALLENGER,KENT,WA,98064.0,1/1/2015,10/19/2016,29168.55,27362.72,29951.55,27867.72,29951.55,27362.72,29976.55,N
H6VA07148,"BEDELL, EILEEN MCNEIL",H,VA,7.0,DEM,CHALLENGER,N CHESTERFIELD,VA,23235.0,1/1/2016,10/19/2016,153102.17,176091.64,174143.22,184975.52,174143.22,176091.64,183027.1,N
H6GA05290,"BELL, DOUGLAS ANTHONY",H,GA,5.0,REP,CHALLENGER,ATLANTA,GA,30315.0,1/6/2015,10/19/2016,6008.0,4424.91,9913.57,9653.85,9913.57,4424.91,9913.57,N
H6VA10209,"BENNETT, LUANN",H,VA,10.0,DEM,CHALLENGER,MCLEAN,VA,22101.0,10/1/2015,10/19/2016,1764069.66,1976059.94,2121534.46,2128900.61,2110187.99,1976059.94,2211534.46,N
H2MI11133,"BENTIVOLIO, KERRY",H,MI,11.0,REP,CHALLENGER,WALLED LAKE,MI,48390.0,1/1/2015,10/19/2016,23565.0,4618.83,27165.0,25091.37,27165.0,1018.83,28665.0,N
H6SC02100,"BJORN, ARIK",H,SC,2.0,DEM,CHALLENGER,COLUMBIA,SC,29290.0,2/15/2016,10/19/2016,44335.49,53329.21,62237.64,53424.21,62197.64,53329.21,62337.64,N
H6WA06211,"BLOOM, TODD ANTHONY",H,WA,6.0,REP,CHALLENGER,TACOMA,WA,98417.0,5/19/2016,10/19/2016,5914.0,10852.0,8435.0,6702.0,8435.0,7929.0,11056.0,N
H8MN03069,"BONOFF, TERRI",H,MN,3.0,DFL,CHALLENGER,WAYZATA,MN,55391.0,4/1/2016,10/19/2016,1383361.46,1441701.63,1660038.22,1445902.64,1656703.22,1442567.64,1660904.23,N
H6AL05202,"BOYD, WILLIE WILL"" DR. JR.""",H,AL,5.0,DEM,CHALLENGER,FLORENCE,AL,35630.0,7/1/2015,10/19/2016,30641.75,54923.85,52983.73,54923.85,52983.73,54923.85,55906.93,N
S6OK04130,"BRADDY, SEAN D",S,OK,0.0,IND,CHALLENGER,NORMAN,OK,73069.0,4/15/2016,10/19/2016,12259.0,12705.0,12259.0,12751.0,12259.0,12705.0,12259.0,N
H2IL12130,"BRADSHAW, PAULA",H,IL,12.0,GRE,CHALLENGER,CARBONDALE,IL,62901.0,1/1/2015,10/19/2016,1258.53,1875.53,2508.53,1875.53,2508.53,1875.53,2565.53,N
H6TX02160,"BRYAN, PAT",H,TX,2.0,DEM,CHALLENGER,HOUSTON,TX,77019.0,10/1/2015,10/19/2016,120.0,7349.78,120.0,13548.18,120.0,7349.78,14181.94,N
H6NC11198,"BRYSON, FREDERICK EDGAR (RICK)",H,NC,11.0,DEM,CHALLENGER,BRYSON CITY,NC,28713.0,8/5/2015,10/19/2016,27795.0,28218.11,29580.0,30278.11,29580.0,30178.11,43090.0,N
H6MA08299,"BURKE, WILLIAM F",H,MA,8.0,REP,CHALLENGER,QUINCY,MA,2170.0,7/1/2016,10/19/2016,950.0,41401.27,45450.0,41401.27,45450.0,41401.27,45450.0,N
H6CA25177,"CAFORIO, BRYAN",H,CA,25.0,DEM,CHALLENGER,VALENCIA,CA,91355.0,10/1/2015,10/19/2016,956672.67,1245092.13,1319070.1,1273383.33,1312243.14,1264452.37,1353620.83,N
H4ME02200,"CAIN, EMILY",H,ME,2.0,DEM,CHALLENGER,BANGOR,ME,4402.0,1/1/2015,10/19/2016,2451599.71,2973739.2,3106870.48,3002007.21,3103895.48,2996632.21,3129763.49,N
H6NY01118,"CALONE, DAVID L",H,NY,1.0,OTH,CHALLENGER,EAST SETAUKET,NY,11733.0,1/1/2015,10/19/2016,1322607.8,1456658.02,1425207.08,1509795.77,1399490.63,1457732.95,1700582.01,N
H6GU01016,"CAMACHO, FELIX P GOVERNOR",H,GU,0.0,REP,CHALLENGER,TAMUNING,GU,96931.0,1/1/2016,10/19/2016,77353.0,74664.3,77553.0,74664.3,77553.0,74664.3,77553.0,N
H6NC09184,"CANO, FERNANDO CHRISTIAN JR",H,NC,9.0,DEM,CHALLENGER,CHARLOTTE,NC,28226.0,10/1/2015,10/19/2016,12592.18,42127.26,19546.27,44240.58,19546.27,44240.58,46139.31,N
H2TX07036,"CARGAS, JAMES P",H,TX,7.0,DEM,CHALLENGER,HOUSTON,TX,77006.0,1/1/2015,10/19/2016,22209.56,34603.56,36234.56,34603.56,36234.56,34603.56,36234.56,N
H6CO06058,"CARROLL, MORGAN",H,CO,6.0,DEM,CHALLENGER,AURORA,CO,80011.0,7/6/2015,10/19/2016,2152185.33,2326606.64,2602469.56,2345290.07,2583786.13,2326606.64,2602469.56,N
S6CT05108,"CARTER, DAN",S,CT,0.0,REP,CHALLENGER,BETHEL,CT,6801.0,4/1/2016,10/19/2016,316085.0,314794.0,344634.0,317794.0,341934.0,314794.0,364634.0,N
H4NC07100,"CASTEEN, J WESLEY",H,NC,7.0,DEM,CHALLENGER,WILMINGTON,NC,28405.0,1/1/2015,10/19/2016,13365.0,12526.74,13465.0,12526.74,13465.0,12526.74,13465.0,N
H6NJ09231,"CASTILLO, HECTOR DR.",H,NJ,9.0,REP,CHALLENGER,PATERSON,NJ,7501.0,1/1/2016,10/19/2016,14250.18,50125.99,51500.18,50125.99,51500.18,50125.99,51500.18,N
H6MA09164,"CATALDO, CHRISTOPHER DAVID",H,MA,9.0,NPA,CHALLENGER,NORWELL,MA,2061.0,10/25/2015,10/19/2016,5081.11,5590.66,7738.31,5792.16,7638.31,5692.16,7839.81,N
H4CA31071,"CHABOT, PAUL R DR.",H,CA,31.0,REP,CHALLENGER,RCH CUCAMONGA,CA,917392574.0,1/1/2015,10/19/2016,515301.74,516707.14,585350.52,596046.14,585350.52,520707.14,641850.52,N
H4SC01271,"CHERNY, DIMITRI",H,SC,1.0,DEM,CHALLENGER,CHARLESTON,SC,29401.0,1/1/2016,10/19/2016,26300.64,14107.19,26300.64,17587.19,26300.64,14107.19,26300.64,N
H6MO04224,"CHRISTENSEN, GORDON DR.",H,MO,4.0,DEM,CHALLENGER,COLUMBIA,MO,65203.0,10/1/2015,10/19/2016,167558.53,192132.22,168808.53,192132.22,168808.53,192132.22,202308.53,N
H6TX31045,"CLARK, MIKE",H,TX,31.0,DEM,CHALLENGER,GEORGETOWN,TX,78626.0,11/25/2015,10/19/2016,12974.41,20501.9,18322.41,20501.9,18322.41,20501.9,21422.41,N
H6CA03117,"CLEEK, N EUGENE MD",H,CA,3.0,REP,CHALLENGER,ORLAND,CA,959630944.0,1/1/2015,10/19/2016,158347.85,320107.22,164259.01,323762.22,164259.01,320107.22,376809.01,N
H6UT01137,"CLEMENS, PETER C",H,UT,1.0,DEM,CHALLENGER,NORTH OGDEN,UT,84414.0,1/1/2016,10/19/2016,106811.35,76273.22,106911.35,77273.22,106911.35,76273.22,106911.35,N
H4MI06105,"CLEMENTS, PAUL COLIN",H,MI,6.0,DEM,CHALLENGER,KALAMAZOO,MI,49008.0,1/1/2015,10/19/2016,997389.8,836408.39,1034763.12,851855.44,1030216.49,837308.81,1035663.54,N
H4SC03111,"CLEVELAND, HOSEA N",H,SC,3.0,DEM,CHALLENGER,SENECA,SC,29679.0,4/1/2016,10/19/2016,904.0,6517.0,9045.0,6517.0,9045.0,3012.0,9045.0,N
H4NJ02157,"COLE, DAVID HAGERTY",H,NJ,2.0,DEM,CHALLENGER,SEWELL,NJ,8080.0,1/1/2016,10/19/2016,76338.13,100411.84,79529.26,100667.84,79323.26,100411.84,111372.86,N
H6IN02155,"COLEMAN, LYNN CARNELL",H,IN,2.0,DEM,CHALLENGER,SOUTH BEND,IN,46614.0,10/1/2015,10/19/2016,375301.11,445335.77,529466.27,462331.27,524193.27,447558.27,531688.77,N
H4PA17141,"CONNOLLY, MATT",H,PA,17.0,REP,CHALLENGER,BETHLEHEM,PA,18020.0,1/1/2015,10/19/2016,19498.0,18629.21,26198.0,18629.21,26198.0,18629.21,26198.0,N
H6CT05157,"COPE, CLAY",H,CT,5.0,REP,CHALLENGER,SHERMAN,CT,6784.0,1/1/2016,10/19/2016,97251.0,73450.72,103147.57,79600.72,96997.57,73450.72,103147.57,N
H2CT01189,"COREY, MATTHEW M MR",H,CT,1.0,REP,CHALLENGER,MANCHESTER,CT,6040.0,4/1/2016,10/19/2016,12347.11,7450.83,13640.31,7450.83,13640.31,7450.83,13640.31,N
H6MN02131,"CRAIG, ANGELA DAWN",H,MN,2.0,DEM,CHALLENGER,EAGAN,MN,55122.0,4/1/2015,10/19/2016,2039065.33,3345423.53,2720138.05,3349147.59,2716572.86,3345582.4,3698000.02,N
S6AL00302,"CRUMPTON, RONALD (RON) STEVEN",S,AL,0.0,DEM,CHALLENGER,PELHAM,AL,35124.0,4/1/2015,10/19/2016,31790.0,28856.0,32740.0,28980.0,32755.0,27854.0,34440.0,N
H6AR02245,"CURRY, DIANNE",H,AR,2.0,DEM,CHALLENGER,LITTLE ROCK,AR,72210.0,9/24/2015,10/19/2016,21608.88,20957.87,32858.88,21523.29,22358.88,21518.29,34830.83,N
H6NV01232,"D'SILVA, REUBEN",H,NV,1.0,NON,CHALLENGER,LAS VEGAS,NV,89104.0,3/1/2016,10/19/2016,18647.03,22038.17,23690.03,22038.17,23690.03,22038.17,23690.03,N
H4CA26139,"DAGNESSES, RAFAEL",H,CA,26.0,REP,CHALLENGER,SIMI VALLEY,CA,93065.0,7/1/2015,10/19/2016,148201.0,155466.91,151701.0,279776.42,151701.0,155466.91,412730.97,N
H6WI06118,"DAHLKE, JEFFERY J",H,WI,6.0,IND,CHALLENGER,MEQUON,WI,53097.0,1/1/2016,10/19/2016,14170.0,36788.0,35170.0,36788.0,35170.0,36788.0,35170.0,N
S6FL00459,"DALACK, BASIL EDWARD",S,FL,0.0,REP,CHALLENGER,TEQUESTA,FL,334691922.0,4/13/2016,10/19/2016,200.0,10.0,5220.0,7318.0,5220.0,7318.0,7420.0,N
H2PA15099,"DAUGHERTY, RICHARD D",H,PA,15.0,DEM,CHALLENGER,OREFIELD,PA,18069.0,1/1/2015,10/19/2016,12183.72,18071.13,20652.11,18071.13,20652.11,18071.13,20652.11,N
H4NC06136,"DAVIS, BRUCE EDWARD SR.",H,NC,13.0,DEM,CHALLENGER,JAMESTOWN,NC,27282.0,1/1/2015,10/19/2016,55881.0,43585.3,58631.0,62060.64,58631.0,43585.3,79231.0,N
H6NY24177,"DEACON, COLLEEN",H,NY,24.0,DEM,CHALLENGER,SYRACUSE,NY,13210.0,10/1/2015,10/19/2016,1008303.67,1286649.92,1310635.27,1289995.28,1307289.91,1286649.92,1323419.88,N
H6VA06157,"DEGNER, KAI",H,VA,6.0,DEM,CHALLENGER,HARRISONBURG,VA,22802.0,4/1/2016,10/19/2016,133960.85,117073.56,142399.85,117073.56,142399.85,117073.56,142399.85,N
S2OH00238,"DEMARE, JOSEPH ROSARIO",S,OH,0.0,GRE,CHALLENGER,BOWLING GREEN,OH,43402.0,6/1/2015,10/19/2016,5996.0,10051.0,9094.0,10112.0,9033.0,10051.0,10541.0,N
H6IN05216,"DEMAREE, ANGELA JO",H,IN,5.0,DEM,CHALLENGER,INDIANAPOLIS,IN,46256.0,6/10/2015,10/19/2016,104529.84,74098.11,145409.72,74423.91,145409.72,74423.91,145769.19,N
H6CA04156,"DERLET, ROBERT WAYNE",H,CA,4.0,DEM,CHALLENGER,SONORA,CA,95370.0,10/6/2015,10/19/2016,71227.78,68725.76,92677.94,69625.76,92427.94,68725.76,93477.94,N
H6NY21132,"DERRICK, WILLIAM MIKE",H,NY,21.0,DEM,CHALLENGER,PERU,NY,12972.0,7/1/2015,10/19/2016,1006762.12,1099844.18,1164225.26,1103702.01,1161425.26,1100902.01,1165283.09,N
H6NC01108,"DEW, HAROLD POWELL JR",H,NC,1.0,REP,CHALLENGER,STANTONSBURG,NC,27883.0,4/1/2016,10/19/2016,5695.0,19656.14,10648.0,19656.14,10648.0,19656.14,20648.0,N
H4WA04088,"DIDIER, CLINT",H,WA,4.0,REP,CHALLENGER,ELTOPIA,WA,99330.0,1/1/2015,10/19/2016,61946.99,45207.27,61946.99,45212.77,61946.99,45212.77,62282.49,N
S6SC04148,"DIXON, THOMAS ALAN",S,SC,0.0,DEM,CHALLENGER,NORTH CHARLESTON,SC,29419.0,1/1/2016,10/19/2016,19680.0,18788.0,36547.0,32828.0,23380.0,32828.0,36598.0,N
H8CA41139,DR RITA RAMIREZ,H,CA,8.0,DEM,CHALLENGER,TWENTYNINE PALMS,CA,92277.0,1/1/2016,10/19/2016,5361.08,31479.31,5641.08,31604.31,5641.08,31479.31,35743.12,N
H6IN08244,"DRAKE, RON",H,IN,8.0,DEM,CHALLENGER,SULLIVAN,IN,47882.0,1/1/2016,10/19/2016,950.0,9261.0,2750.0,9261.0,2750.0,9261.0,10250.0,N
H6MI07223,"DRISKELL, GRETCHEN",H,MI,7.0,DEM,CHALLENGER,SALINE,MI,48176.0,2/9/2015,10/19/2016,1683929.96,1839833.42,2146750.84,1871104.44,2136975.34,1839833.42,2207699.84,N
H4GA02060,"DUKE, GREGORY PAUL",H,GA,2.0,REP,CHALLENGER,LEESBURG,GA,317634313.0,1/1/2015,10/19/2016,29195.0,34813.29,29695.0,34813.29,29695.0,34813.29,38960.0,N
H6CA34229,"EDWARDS, ADRIENNE NICOLE",H,CA,34.0,DEM,CHALLENGER,LONG BEACH,CA,90802.0,4/1/2016,10/19/2016,20.0,1.8,20.0,1.8,20.0,1.8,20.0,N
H4CA10075,"EGGMAN, MICHAEL RAY",H,CA,10.0,DEM,CHALLENGER,TURLOCK,CA,95380.0,1/1/2015,10/19/2016,966450.65,1090126.52,1272675.21,1110976.11,1268701.54,1106002.44,1294801.13,N
S6AR00132,"ELDRIDGE, CONNER",S,AR,0.0,DEM,CHALLENGER,LITTLE ROCK,AR,72203.0,8/28/2015,10/19/2016,1487657.0,1803247.0,1643207.0,1814570.0,1633927.0,1804590.0,1864550.0,N
H6NV02248,"EVANS, HUGH D MR JR",H,NV,2.0,DEM,CHALLENGER,RENO,NV,89502.0,9/1/2015,10/19/2016,132004.74,159914.37,182254.74,160439.37,181729.74,159914.37,185752.51,N
H6SC04163,"FEDALEI, CHRISTOPHER",H,SC,4.0,DEM,CHALLENGER,GREENVILLE,SC,29601.0,12/1/2015,10/19/2016,85743.12,88271.59,91791.12,88781.59,91281.12,88271.59,91791.12,N
S8WI00026,"FEINGOLD, RUSSELL DANA",S,WI,0.0,DEM,CHALLENGER,MIDDLETON,WI,53562.0,4/1/2015,10/19/2016,20234108.0,18584847.0,21250095.0,18788281.0,21052929.0,18587564.0,21677292.0,N
H4FL19058,"FREEMAN, APRIL JUNE",H,FL,17.0,DEM,CHALLENGER,CAPE CORAL,FL,33915.0,1/1/2015,10/19/2016,114812.91,103987.22,123659.91,111536.4,123659.91,103987.22,123659.91,N
H6FL27031,"FUHRMAN, SCOTT",H,FL,27.0,DEM,CHALLENGER,MIAMI,FL,33243.0,4/1/2016,10/19/2016,90078.0,759467.5,134796.39,760371.83,134796.39,760371.83,785700.72,N
H2TX23124,"GALLEGO, PETE",H,TX,23.0,DEM,CHALLENGER,SAN ANTONIO,TX,78216.0,1/1/2015,10/19/2016,1398232.98,1740780.81,1917671.26,1799264.77,1896716.87,1762629.27,1953570.83,N
H8FL25015,"GARCIA, JOE",H,FL,26.0,DEM,CHALLENGER,MIAMI,FL,33296.0,1/1/2015,10/19/2016,890648.82,945657.64,1135757.16,946406.91,1133757.16,946657.64,1140130.55,N
H4OH04046,"GARRETT, JANET PATRICIA MRS.",H,OH,4.0,DEM,CHALLENGER,OBERLIN,OH,44074.0,1/1/2015,10/19/2016,66284.97,52661.31,76823.87,53224.36,76823.87,52724.36,76886.92,N
H6AZ09010,"GILES, DAVID VICTOR",H,AZ,9.0,REP,CHALLENGER,CHANDLER,AZ,85226.0,4/1/2015,10/19/2016,13441.21,170978.52,13441.21,249176.45,13441.21,170978.52,254468.63,N
H6KS04165,"GIROUX, DANIEL BERNARD",H,KS,4.0,DEM,CHALLENGER,WICHITA,KS,67205.0,10/1/2015,10/19/2016,219913.0,226872.68,247763.0,251127.68,246963.0,227227.68,250618.0,N
H6CA52130,"GITSHAM, DENISE",H,CA,52.0,REP,CHALLENGER,SAN DIEGO,CA,92101.0,10/22/2015,10/19/2016,1019968.19,1148876.32,1201776.14,1204296.1,1201356.36,1148876.32,1312272.53,N
H6MS04192,"GLADNEY, MARK DEY",H,MS,4.0,DEM,CHALLENGER,GULFPORT,MS,39505.0,8/1/2015,10/19/2016,30371.0,49270.27,52392.0,49270.27,52392.0,49270.27,52392.02,N
S6ND00108,"GLASSHEIM, ELIOT",S,ND,0.0,DEM,CHALLENGER,GRAND FORKS,ND,58208.0,4/1/2016,10/19/2016,15644.0,21140.0,20644.0,21140.0,20644.0,21140.0,20644.0,N
S6CO00226,"GLENN, DARRYL",S,CO,0.0,REP,CHALLENGER,COLORADO SPRINGS,CO,80962.0,1/1/2015,10/19/2016,3402077.0,2503222.0,3554383.0,2547292.0,3553878.0,2530308.0,3627948.0,N
H6NC06099,"GLIDEWELL, POWELL WATKINS PETE"" III""",H,NC,6.0,DEM,CHALLENGER,ELON,NC,27244.0,9/22/2015,10/19/2016,84742.54,80773.74,88617.54,82513.74,88617.54,82513.74,90357.54,N
H6OH11160,"GOLDSTEIN, BEVERLY A.",H,OH,11.0,REP,CHALLENGER,BEACHWOOD,OH,44122.0,1/1/2016,10/19/2016,17248.99,15791.23,17248.99,15791.23,17248.99,15791.23,17248.99,N
H6NC04151,"GOOGE, SUE",H,NC,4.0,REP,CHALLENGER,CARY,NC,27518.0,10/1/2015,10/19/2016,104229.32,78678.44,104229.32,78678.44,104229.32,78678.44,115969.32,N
S6KY00120,"GRAY, JIM P",S,KY,0.0,DEM,CHALLENGER,LEXINGTON,KY,40588.0,1/1/2016,10/19/2016,3284835.0,4539473.0,3407408.0,4668876.0,3376518.0,4541315.0,5420051.0,N
H6NY02124,"GREGORY, DUWAYNE",H,NY,2.0,DEM,CHALLENGER,AMITYVILLE,NY,11701.0,4/1/2015,10/19/2016,278720.33,322168.33,353642.55,322890.62,353349.21,322597.28,354071.5,N
H0OK05155,"GUILD, THOMAS EUGENE",H,OK,5.0,DEM,CHALLENGER,EDMOND,OK,73083.0,1/1/2015,10/19/2016,29704.08,76456.69,29821.08,76721.08,29821.08,76456.69,76721.08,N
H0MN01045,"HAGEDORN, JAMES",H,MN,1.0,REP,CHALLENGER,BLUE EARTH,MN,56013.0,1/1/2015,10/19/2016,284019.1,273077.67,314542.01,296362.09,314542.01,273436.87,323484.73,N
H6MA09180,"HARRINGTON, PAUL J.",H,MA,9.0,NNE,CHALLENGER,CHATHAM,MA,2633.0,7/1/2016,10/19/2016,14790.0,27781.05,21138.0,27781.05,21138.0,27781.05,61138.0,N
H6SD01091,"HAWKS, PAULA",H,SD,0.0,DEM,CHALLENGER,SIOUX FALLS,SD,57101.0,7/1/2015,10/19/2016,379192.77,315989.85,398449.14,315989.85,398449.14,315989.85,398449.14,N
H6AZ02189,"HEINZ, MATTHEW GERALD DR.",H,AZ,2.0,DEM,CHALLENGER,TUCSON,AZ,85732.0,7/1/2015,10/19/2016,1118598.25,1316931.56,1415790.93,1343912.3,1409810.19,1316931.56,1415790.93,N
